Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2024-09-09,,,,,5.80,,156,,"68F, sunny, rav. to 65th to GL. around GL Clockwise. jog home. "
2024-09-04,,,,1200,,,160,,"80F, Prospect Park, Brooklyn NY"
2024-09-01,,,,1080,,,160,,"80F, Port Jefferson NY"
2024-08-27,,970669,20th to 85th Loop,,5.67,,158,,"60F, sunny (no watch!)"
2024-08-20,,916260,GL TriangleSquare,,5.75,,155,,"65F, cloudy, extra stop for Bill Ames!, (fbit)"
2024-08-17,,,,,5.62,,155,,"74F, sunny, 18th to 47th to 45th to latona to Ravenna. (fbit)"
2024-08-15,,143114,Reservoir Basic,,3.40,,155,,"70F, cloudy, felt good, (fbit)"
2024-08-13,,,,,5.20,,155,,"65F, cloudy, Frem.Bridge to Westlake, back via Dexter (fbit)"
2024-08-05,,,,,5.00,,154,,"78F, sunny, ballot box drop off at Greenlake - back via 8oth. (fbit)"
2024-08-02,,143114,Reservoir Basic,,3.40,,154,,"74F, cloudy, (fbit)"
2024-07-30,,,,,9.28,,155,,"72F, GW park to Connor Byrne tavern & back. cloudy"
2024-07-28,,866647,Reverse Latona,,3.28,,155,,"64F, cloudy, (fbit)"
2024-07-26,,,,1740,,,155,,"65F, sunny, arboretum loop (fbit)"
2024-07-22,,,,2050,,,154,,"61F, cloudy, Rav Blvd to GL, Sunnyside to 80th, 80th to Roosevelt to home (fbit)"
2024-07-18,,143116,Greenlake 3k,1148,3.90,4.91,154,,"68F, Sunny, empty stomach, good caff. "
2024-07-14,,,,,4.88,,155,,"75F. sunny, Ravine to BGT to UW up 17th (fbit)
"
2024-07-12,,,,,5.65,,,,"74F, sunny, 20th to 85th"
2024-07-10,,866647,Reverse Latona,,3.28,,,,"65F, sunny"
2024-06-25,,,,,7.46,,155,,"71F, extended 50th/GL/Ravenna (fbit)
"
2024-06-20,,143114,Reservoir Basic,,3.40,,155,,
2024-06-15,,,,2400,,,,,"68F, Sunny, Hollywood Hills, LA
"
2024-06-08,,,,2100,,,156,,"60F, cloudy, South Park SD (~3k)"
2024-06-05,,143114,Reservoir Basic,,3.40,,155,,"66F, ptly cloudy, (fbit)
"
2024-06-03,,242812,Greenlake out-and-back 5k,,4.90,,155,,"60F, sunny, windy (fbit)"
2024-05-29,,861961,LDS Loop,,3.60,,153,,"56F, cloudy 
"
2024-05-27,,242812,Greenlake out-and-back 5k,,4.90,,152,,"64F, ptly cloudy.  (fbit)
"
2024-05-20,,340040,Greenlake out & around,,6.21,,155,,
2024-05-13,,,,,6.14,,155,,"66F, cloudy, (fbit), up 20th to 85th, down Roosevelt"
2024-05-10,,759536,Latona Loop corrected ,,3.56,,155,,"61F, sunny, +0.6km ,  (fbit)"
2024-05-06,,861961,LDS Loop,,3.60,,156,,"55F, partly sunny, (fbit)"
2024-04-22,,,,1800,5.37,5.59,156,,"62F, sunny, 50th to GL to Ravenna blvd"
2024-04-13,,,,1855,4.98,6.21,156,,"61F, partly cloudy, (fbit)  56th -> 20th -> 80th -> 12th"
2024-04-07,,,,1047,3.13,5.58,157,,"56F, cloudy, after lunch, 50th->Latona->65th->Ravenna (fbit)
"
2024-04-02,,,,1440,4.44,5.41,156,,"51F, sunny, 17th to 80th down 12th"
2024-03-26,,653902,45th to 65th loop,990,3.08,5.35,155,,"53F, partly cloudy, (fbit)"
2024-03-24,,866647,Reverse Latona,1040,3.28,5.29,155,,"52F, cloudy, (fbit)"
2024-03-18,,916260,GL TriangleSquare,1740,5.75,5.05,155,,"68F, sunny, (shorts & T!), 
 (fbit)"
2024-03-13,,866647,Reverse Latona,1024,3.28,5.21,155,,"50F, ptly cldy, dry (fbit)
"
2024-03-08,,143117,Greenlake 5k,,5.01,,154,,"48F, cloudy, dry (fbit)"
2024-02-23,,143116,Greenlake 3k,1157,3.90,4.94,157,,"48F, sunny, moderate effort, (fbit)
"
2024-02-20,,143114,Reservoir Basic,1022,3.40,5.01,157,,"49F, cloudy, good caf. + James Brown!
"
2024-02-12,,242812,Greenlake out-and-back 5k,,4.90,,155,,
2024-01-26,,143114,Reservoir Basic,1038,3.40,5.09,155,,"48F, cloudy"
2023-12-31,,861961,LDS Loop,,3.60,,158,,"46F, partly cloudy, (fbit), joints better, groin muscle tear(?) still acting up.
"
2023-12-29,,,,2460,7.49,5.47,160,,"54F, cloudy, Around greenlake and home. long Xmas break - joint pain!  (fbit)
"
2023-12-20,,143117,Greenlake 5k,,5.01,,155,,"46F, sunny, (fbit)
"
2023-12-10,,,,,5.77,,155,,"53F, Sunny BG trail, gassworks - Fred Myer (fbit)"
2023-12-08,,866647,Reverse Latona,,3.28,,155,,"47F, partly sunny, 18:04 fbit time. "
2023-12-01,,,,,3.28,,,,"47F, sunny, (fbit)   Extended Res. Basic. (lunch in tummy)"
2023-11-25,,,,,7.40,,156,,"45F, sunny, epic 50th-Greenlake-Around, (fbit)"
2023-11-19,,866647,Reverse Latona,1018,3.28,5.18,157,,"47F, cloudy, 9:30AM
"
2023-11-17,,143114,Reservoir Basic,1025,3.40,5.02,157,,"37F, sunny, a bit extra caf.
"
2023-11-13,,242812,Greenlake out-and-back 5k,,4.90,,157,,"47F, prtly sunny, (fbit)"
2023-11-10,,143117,Greenlake 5k,,5.01,,157,,"48F, cloudy, (fbit)"
2023-10-30,,143116,Greenlake 3k,,3.90,,157,,"29F, sunny (fbit)
"
2023-10-27,,143116,Greenlake 3k,,3.90,,157,,"46F summy, (fbit) pause button malf. "
2023-10-20,,143114,Reservoir Basic,1016,3.40,4.98,158,,"56F, cloudy; 9:20AM
"
2023-10-13,,242812,Greenlake out-and-back 5k,1507,4.90,5.12,158,,"60F, sunny, 8:45AM, also (fbit)"
2023-10-06,,143117,Greenlake 5k,,5.01,,158,,"67F, sunny, timing messed up (fbit) wrong turn @64th"
2023-10-02,,143116,Greenlake 3k,,3.90,,158,,"55F, light drizzle, 10:45am, fbit"
2023-09-21,,143114,Reservoir Basic,1029,3.40,5.04,158,,"63F, sunny"
2023-09-16,,143114,Reservoir Basic,,3.40,,158,,"73F, 2:00PM, sunny, (fbit)
"
2023-09-08,,143114,Reservoir Basic,,3.40,,158,,"67F, sunny, 10:00AM, fbit"
2023-08-29,,143114,Reservoir Basic,,3.40,,156,,"62F, cloudy, 11:30AM, fbit.
"
2023-08-25,,143114,Reservoir Basic,1020,3.40,5.00,155,,"62F 9:45am, cloudy, fbit
"
2023-08-15,,,,1080,3.62,4.97,155,,"74F, 7:30AM, Ravine and around Ravenna brewing.  fbit"
2023-08-03,,,,2401,,,,,"10AM, Brule, Castle Rd to bridge. PF in foot getting better. "
2023-07-21,,,,0,3.55,,,,"11:30, 66F, cloudy, tangle town, 1st, 50th, Roosev.  fitb, time off due to foot pain (bikerides!)"
2023-07-12,,,,1389,4.58,5.05,155,,"up to 75th, 7:10 to sign, 67F, sunny, 80th to Stroud to GL."
2023-07-10,,143116,Greenlake 3k,1124,3.90,4.80,155,,"64F, cloudy, 11:45am, 3:46 to 65th"
2023-07-08,,143114,Reservoir Basic,1003,3.40,4.91,155,,"69F, Sunny, 1:00, tummy? 7:10 to sign"
2023-07-06,,,,1212,,,155,,"75F, 10:00AM, Ravine to 25th, 65th, 64th to Brooklyn"
2023-07-03,,562270,no lights local loop,1128,3.61,5.21,155,,"74F, sunny, 11:30AM"
2023-06-29,,916260,GL TriangleSquare,1729,5.75,5.01,155,,"73F, sunny"
2023-06-26,,143114,Reservoir Basic,981,3.40,4.81,155,,"67F, 11:10AM, sunny"
2023-06-22,,143114,Reservoir Basic,1002,3.40,4.91,155,,"70F, sunny, 7:08 to sign. "
2023-06-19,,,,1109,,,,,"65F, Juniper st around highschool via Redwood ave. San Diego"
2023-06-17,,,,1326,,,,,"74F, Claremont Mesa, Ca, Moraga ave."
2023-06-14,,,,,5.70,,155,,"65F, to UW via 16th/ back via bgt and ravine (fbit)"
2023-06-12,,143114,Reservoir Basic,1003,3.40,4.91,155,,"75f, sunny, 7:09 to sign"
2023-06-10,,143114,Reservoir Basic,998,3.40,4.89,155,,"56F, cloudy, wet.  7:11 to sign."
2023-06-08,,242812,Greenlake out-and-back 5k,1501,4.90,5.10,156,,"66F, 11AM, sunny"
2023-06-04,,143114,Reservoir Basic,1047,3.40,5.13,156,,"57F, sunny, stomach full!, 7:30AM"
2023-06-01,,,,1980,,,154,,"58F, cloudy, 11AM,  Caffe Ladro, Pine st. to home."
2023-05-29,,143116,Greenlake 3k,1152,3.90,4.92,155,,"56F, cloudy, 12:00 PM, 4:00 to 65th.
"
2023-05-26,,653902,45th to 65th loop,,3.08,,155,,"74F, sunny, fbit."
2023-05-22,,,,1334,,,157,,"70F, 9:30AM, Graceland Cemetery, Chicago"
2023-05-20,,,,1735,,,157,,"56F, 11AM, Chicago 606 elevated trail. "
2023-05-18,,,,1691,,,157,,"60F, hazy, Chicago River"
2023-05-15,,,,1375,,,156,,"85F, sunny, Ravine, 4 laps, fbit"
2023-05-12,,143116,Greenlake 3k,1152,3.90,4.92,156,,"64F, sunny, 8:30AM, full bkfst?"
2023-05-08,,861961,LDS Loop,1021,3.60,4.73,156,,"62F, sunny.  11:00AM"
2023-05-06,,143114,Reservoir Basic,,3.40,,156,,"58F, drizzle, cloudy, fbit"
2023-05-03,,340040,Greenlake out & around,2025,6.21,5.43,158,,"68F, sunny fbit.  took it easy."
2023-04-30,,,,,5.04,,158,,"59F, cloudy, resservoir 5k backward(!)  fbit."
2023-04-27,,143114,Reservoir Basic,1014,3.40,4.97,158,,"63F, Sunny. just after lunch, band sleep night. "
2023-04-24,,143116,Greenlake 3k,,3.90,,158,,"55F, partly sunny, stopwatch glitch. fbit"
2023-04-19,,,,1620,,,158,,"52F, up to Maple Leaf, back via Project 9. to 15th."
2023-04-17,,,,1920,,,158,,"48F, Rockridge hills. (fbit)
"
2023-04-14,,,,1219,,,158,,"52F, Sunny, North Oakland & Berkeley"
2023-04-12,,,,1125,,,157,,"49F, partly cloudy, 50th->Latona->65th->12th"
2023-04-04,,,,1588,,,158,,"53F, Sunny, up 20th to 85th, back via Plan 9 and 15th. "
2023-03-31,,143114,Reservoir Basic,1017,3.40,4.98,158,,"48F, cloudy, 12:00PM"
2023-03-29,,,,1198,,,158,,"56F, Sunny, 11:15AM  up to Proj 9 brewing at Lake City Wy.  
"
2023-03-22,,143116,Greenlake 3k,1168,3.90,4.99,156,,"69F,  Sunny, 2:30PM, big lunch?"
2023-03-20,,,,1214,,,157,,"55F, Sunny, 8th up to 75th, 19th back down. "
2023-03-17,,861961,LDS Loop,1058,3.60,4.90,159,,"55F, Sunny, 9:15AM"
2023-03-15,,143116,Greenlake 3k,1144,3.90,4.89,159,,"45F, sunny, 9:45Am, "
2023-03-10,,653902,45th to 65th loop,936,3.08,5.06,159,,"41F, cloudy."
2023-03-08,,143114,Reservoir Basic,984,3.40,4.82,159,,"46F, partly sunny"
2023-03-04,,,,1554,5.31,4.88,159,,"44F, cloudy, tangletown. "
2023-02-15,,143116,Greenlake 3k,1137,3.90,4.86,159,,"40F, sunny, fast start 3:52 to 65th, then tired out. "
2023-02-10,,143114,Reservoir Basic,988,3.40,4.84,160,,"47F, partly cloudy, dry"
2023-02-08,,861961,LDS Loop,1049,3.60,4.86,160,,"46F, sunny , ~10sec detour"
2023-02-03,,143116,Greenlake 3k,1133,3.90,4.84,159,,"47F, cludy, 3:54 to 65th."
2023-02-01,,143114,Reservoir Basic,982,3.40,4.81,158,,"37F, ptly cloudy, 6:54 to sign"
2023-01-26,,143114,Reservoir Basic,997,3.40,4.88,161,,"41F, ptly sunny, 7:11 to sign"
2023-01-24,,653902,45th to 65th loop,910,3.08,4.92,161,,"41F, cloudy, low-caf?"
2023-01-19,,143114,Reservoir Basic,992,3.40,4.86,161,,"35F, light clouds."
2023-01-17,,143116,Greenlake 3k,1140,3.90,4.87,161,,"46F, mostly cloudy  4:01 to 65th"
2023-01-11,,143114,Reservoir Basic,1010,3.40,4.95,161,,"48F, sunny
"
2023-01-06,,562270,no lights local loop,1124,3.61,5.20,161,,"47F, cloudy, 7:14 to turn"
2023-01-04,,143114,Reservoir Basic,1019,3.40,4.99,161,,"42F, high clouds.
"
2022-12-31,,861961,LDS Loop,,3.60,,163,,"47F, cloudy, no stopwatch. "
2022-12-26,,,,1929,,,162,,"65F, 11:00AM, Sunny, San Diego, muliple short stops. "
2022-12-22,,,,1491,,,161,,"60F, sunny, san Diego"
2022-12-20,,,,1701,,,161,,"10AM, 56f, Sunny, edge of Balboa Pk, San Diego"
2022-12-17,,,,1639,,,161,,"12:00PM, 60F, light clouds.  Around Juniper Canyon, San Diego"
2022-12-14,,242812,Greenlake out-and-back 5k,1486,4.90,5.05,161,,"11AM, 41F, sunny, 3:57 to 65th"
2022-12-11,,653902,45th to 65th loop,932,3.08,5.04,161,,"1:15PM, 43F, cloudy, slight construction re-route."
2022-12-09,,926707,65/55/35//Ravine,1730,5.43,5.31,162,,"2:00PM, 43F, cloudy, 65th, 35th,55th, Ravine."
2022-12-07,,143116,Greenlake 3k,1132,3.90,4.84,161,,"45F, 11:10AM, cloudy"
2022-11-30,,143114,Reservoir Basic,1017,3.40,4.98,161,,"38F, RHS kids!  a bit of snow at 75th."
2022-11-24,,,,1614,5.00,5.38,161,,"35F, foggy, 9:30AM, Magnusen Turkey Trot. WITH SOPHIA! (7/25 60-69age)
"
2022-11-21,,143114,Reservoir Basic,1019,3.40,4.99,161,,"48F, cloudy 12:30PM"
2022-11-19,,,,1534,5.25,4.87,161,,"48F, Sunny, 50th to Stone/Greenlake"
2022-11-17,,143114,Reservoir Basic,993,3.40,4.87,161,,"47F, sunny, 7:03 to sign"
2022-11-15,,242812,Greenlake out-and-back 5k,1465,4.90,4.98,162,162,"50F, sunny, 4:46 to 65th"
2022-11-11,,,,1207,,,162,,"48F, cloudy, down to 43rd back up Roosevelt to 63rd."
2022-11-08,,143116,Greenlake 3k,1139,3.90,4.87,162,,"35F, partly cloudy, windy, 3:53 to 65th"
2022-11-04,,143114,Reservoir Basic,999,3.40,4.89,161,,"58F, cloudy, damp, 6:58 to sign, 3:30PM"
2022-11-01,,861961,LDS Loop,1038,3.60,4.81,161,,"48F, cloudy"
2022-10-30,,,,1516,,,161,,"52F, cloudy, 58th to Woodlawn to 50th home. "
2022-10-28,,143116,Greenlake 3k,1129,3.90,4.82,161,,"52F, cloudy, 3:55 to 65th"
2022-10-26,,143114,Reservoir Basic,990,3.40,4.85,161,,"50F, coudy, 7:03 to sign"
2022-10-21,,861961,LDS Loop,1044,3.60,4.83,162,,"50F, drizzle, no groin pain."
2022-10-14,,143114,Reservoir Basic,975,3.40,4.78,161,,"62F, sunny, smokey, extra stop at sign (shoe tie).  7:05 to sign. 143AQI
"
2022-10-12,,,,1536,5.40,4.74,161,,"65F, like GL square but cut across 65th. sunny, long break @14min - met Gretchen and Luisa!"
2022-10-10,,,,1185,,,161,,"49F, ravine, 25th, 63rd, home."
2022-10-07,,861961,LDS Loop,1031,3.60,4.77,161,,"58F, 9AM, smoky AQI 103, no groin pain."
2022-10-04,,,,903,,,,,"55F, 7:30AM, cloudy, down to 45th, up and around the hood.
"
2022-09-30,,143116,Greenlake 3k,1094,3.90,4.67,161,,"56F, good AQI, no groin pain.  3:47 to 65th."
2022-09-27,,,,1468,,,162,,"68F, smoke 80-90 AQI, no groin pain.   Upper Greenlake."
2022-09-22,,562270,no lights local loop,1099,3.61,5.08,160,,"70F, remnant smoke, no groin pain, sunny, 4:00PM"
2022-09-19,,143114,Reservoir Basic,1031,3.40,5.05,161,,"73, sunny, 5:00PM, no groin pain.  7:13 to sign"
2022-09-17,,143114,Reservoir Basic,981,3.40,4.81,160,,"63F, good stretching before, no groin pain.  6:57 to sign.
"
2022-09-14,,,,2214,,,,,
2022-09-12,,,,1440,,,,,"75F, humid.cloudy, Solana Beach,small groin pain at first 100M."
2022-09-10,,,,1194,,,160,,"75F, humid, Solana Beach 101"
2022-09-07,,143114,Reservoir Basic,990,3.40,4.85,160,,"68F, sunny, extra stop at 70th. NO groin pain. "
2022-09-04,,143114,Reservoir Basic,1006,3.40,4.93,160,,"72F, sunny, groin pain good, 7:04 to sign."
2022-09-02,,861961,LDS Loop,1034,3.60,4.79,160,,"64F, sunny, groin felt *good*"
2022-08-30,,143116,Greenlake 3k,1118,3.90,4.78,160,,"72F, 3:56 to 65th. Sunny. Groin pain good. "
2022-08-27,,653902,45th to 65th loop,905,3.08,4.89,160,,"57F, cloudy, wet (slight route change - construction at 45th)"
2022-08-24,,562270,no lights local loop,1049,3.61,4.85,160,,"64F, sunny, groin getting better.  6:52 to sign. groin improving due to PT."
2022-08-19,,,,1367,,,,,"72F, cludy, drizzle.   50th/GL/Ravenna"
2022-08-17,,143116,Greenlake 3k,1094,3.90,4.67,162,,"72F, sunny, 3:59 to 65th. one extra stop."
2022-08-10,,143114,Reservoir Basic,,3.40,,160,,"64F, cloudy, 10AM, timer glitch, but 6:41 to sign, 13:02 to 65th.
"
2022-08-03,,143116,Greenlake 3k,1118,3.90,4.78,160,,"61F, cloudy, started PT warmup.  First 3min better already.  (10min brisk pre-run walk, 5min cooldown as already doing)"
2022-07-31,,653902,45th to 65th loop,917,3.08,4.96,162,,"72F, sunny, 7:30AM, groin pain sill on start. 
"
2022-07-29,,861961,LDS Loop,1055,3.60,4.89,161,,"72F, sunny, 7:15am, overshoot on 2 corners. still groin pain first few mins. 
"
2022-07-20,,916260,GL TriangleSquare,1643,5.75,4.76,162,,"78F, sunny, groin pain on start."
2022-07-17,,143114,Reservoir Basic,997,3.40,4.88,160,,"60F, cloudy, groin pain first 3 min.  7:10 to sign.  rest at 15m
"
2022-07-13,,861961,LDS Loop,1039,3.60,4.81,160,,"68, bright sun. groin improving."
2022-07-07,,143114,Reservoir Basic,995,3.40,4.88,160,,"61F, sunny, 8:00AM, 7:00 to sign, groin better.
"
2022-07-01,,143116,Greenlake 3k,1121,3.90,4.79,160,,"73F, sunny, still groin-pain at start. Seeing Dr. today."
2022-06-24,,,,3000,,,,,"75F, solana beach, run-walk, run-time 36:17
"
2022-06-22,,,,2580,,,,,"67F, Beach/Road Solana Beach. Running time 37:34"
2022-06-19,,,,2640,,,159,,"62F, partly sunny, run-walk, 50th/TangleTown/Greenlake/Ravenna blvd.  Running time 29:29
"
2022-06-15,,861961,LDS Loop,1042,3.60,4.82,160,,"60F, cloudy, less groin pain"
2022-06-08,,,,2315,,,159,,"65F, cloudy, Ravene Run-walk"
2022-05-30,,,,2880,,,158,,"57F, cloudy, run-walk per groin pain article. "
2022-05-26,,143114,Reservoir Basic,969,3.40,4.75,159,,"60F, cloudy, groin hurt first 2 min. 7:00 to sign, extra stop at sign"
2022-05-19,,861961,LDS Loop,1012,3.60,4.69,160,,"54F, Sunny, 10:00AM, groin pain at start"
2022-05-15,,,,1261,,,,,"59F, 10:00AM, Sunny, Oakland, CA"
2022-05-10,,143116,Greenlake 3k,1125,3.90,4.81,159,,"59F, groin pain, sunny"
2022-05-03,,,,1620,,,159,,"56F, cloudy, 3:00pm, slow pace: groin still hurting"
2022-04-27,,,,360,,,159,,"60F, aborted due to groin pain."
2022-04-24,,861961,LDS Loop,1047,3.60,4.85,158,,"59F, 11:00AM, sunny, nursing the groin pull."
2022-04-20,,143116,Greenlake 3k,1118,3.90,4.78,159,,"53F, 11:40AM, groin pain, Birthday break in SF"
2022-04-14,,143114,Reservoir Basic,972,3.40,4.76,157,,"47F, sunny, 6:48 to sign."
2022-04-12,,143114,Reservoir Basic,976,3.40,4.78,155,,"47F, 11:30AM, 6:53 to sign."
2022-04-10,,861961,LDS Loop,1001,3.60,4.64,155,,"59F, 2:00PM, partly sunny."
2022-04-07,,759536,Latona Loop corrected ,1065,3.56,4.99,156,,"56F, 10AM, Sunny"
2022-04-05,,143114,Reservoir Basic,977,3.40,4.79,156,,"52F, 11:00AM, Sunny, extra stop at 68th (phone)"
2022-04-02,,905488,Around Lake Union,2941,10.17,4.82,156,,"60F, ptly cloudy, 2pm, around lake union (with a break at ctr for wooden boats)"
2022-04-01,,143116,Greenlake 3k,1098,3.90,4.69,156,,"53F, cloudy, 3:30PM"
2022-03-28,,,,1228,,,156,,"60F, Solana Beach / Design dist loop."
2022-03-26,,,,1457,,,156,,"55F, 9:30, Solana Beach 101 loop"
2022-03-23,,,,1340,,,156,,"75F, down to delmar beach and back up withstops."
2022-03-21,,,,3600,12.00,5.00,156,,"60F, Delmar to Cardiff & back"
2022-03-18,,143117,Greenlake 5k,1458,5.01,4.85,156,,"48f, cloudy, 11:00am"
2022-03-15,,143114,Reservoir Basic,1003,3.40,4.91,156,,"48F, partly sunny, 10:15AM"
2022-03-12,,861961,LDS Loop,1015,3.60,4.70,157,,"57F, partly cloudy, 1:10PM"
2022-03-09,,,,1221,4.29,4.74,157,,"48F, Sunny, 1:00PM.  Fremont along ship canal."
2022-03-06,,143117,Greenlake 5k,1452,5.01,4.83,157,,"44F, cloudy, 11AM"
2022-03-04,,143114,Reservoir Basic,989,3.40,4.85,157,,"48F, 3:10PM, ptly cloudy, 6:59 to sign"
2022-03-02,,653902,45th to 65th loop,901,3.08,4.87,157,,"50F, wet, cloudy, 2:00PM
"
2022-02-27,,143114,Reservoir Basic,980,3.40,4.80,157,,"48F, 8:30AM, cloudy"
2022-02-25,,861961,LDS Loop,1029,3.60,4.76,157,,"45F, Sunny beautiful. 1:10PM (2 days of cross-country last weekend + cold snap)"
2022-02-16,,861961,LDS Loop,1052,3.60,4.87,156,,"48F,ptly cloudy."
2022-02-11,,143116,Greenlake 3k,1104,3.90,4.72,156,,"48F, sunny, 1:50pm"
2022-02-08,,,,1272,,,157,,"47F, 10:00AM, up to 75th via 20th"
2022-02-04,,143114,Reservoir Basic,,3.40,,157,,"48F, 2:30pm, cloudy, stopwatch goofup"
2022-02-02,,759536,Latona Loop corrected ,1069,3.54,5.03,157,,"39F, cloudy, 1:20PM; maye 10 sec wrong turn
"
2022-01-28,,242812,Greenlake out-and-back 5k,1439,4.90,4.89,157,,"48F, sunny, 3:10pm"
2022-01-27,,143116,Greenlake 3k,1108,3.90,4.73,156,,"40F, 1:10PM, Sunny"
2022-01-25,,,,949,,,156,,"10:30AM, 38F, up to Stevenson Ace"
2022-01-22,,,,1030,,,155,,"1:00PM, 46F, Sunny, Discovery Park!"
2022-01-21,,653902,45th to 65th loop,891,3.08,4.82,155,,"48F, 1:20PM, partly cloudy, eyes dialated"
2022-01-19,,,,1433,5.05,4.73,157,,"4:00pm, 48F, 80th to Dukes to Dukes (around!)"
2022-01-17,,143114,Reservoir Basic,980,3.40,4.80,156,,"12:10, 44F, partly cloudy"
